Player,grupo_posicional,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Balthazar Pierret,Pivote,-3.553350423590585,-0.2652142098149152,-1.2749839240090786,-0.6127116064633323,-1.4516613688975464,-0.11392966722355555,-1.2265850342311353,-0.41972894070433187,1.7523649270063726
Sadik Fofana,Pivote,-3.287657614268921,0.08944061581633665,-0.4631824833257319,0.8585471318813234,1.0543415919835033,-0.19377306404754885,-2.053725236076054,0.8310152446383886,-0.050985465620566627
Máximo Perrone,Pivote,3.550786083351879,-0.6350844143102518,-0.1701202853812788,0.1066606188324169,-0.5016662961499553,-1.2089514725039638,-0.6958101906075436,0.6090694999857675,-0.4483032706887768
Ardon Jashari,Pivote,-0.44993574282433174,-1.016586141892677,2.3098836031738137,-0.3042616891232137,-0.19550326371218996,0.8559598926514967,-1.3859607247886718,0.28283524975908625,0.29560177071936333
Nicolò Rovella,Pivote,-0.7496168529763246,2.830204814450918,2.027227110674652,-0.6808617647078861,-3.060007961064377,1.1875618838573514,0.16734965065870736,-0.7753864115894827,0.11785886020014677
Jean Onana,Pivote,-3.109634395428492,-0.013680742483232054,0.1420717597717499,1.0279253752021467,0.8788125023294122,2.0849160400383253,-0.36325604212106455,-0.2784149923819092,-2.8031431000933957
Stanislav Lobotka,Pivote,1.138722264200248,-1.175068152129657,-1.263783151228487,-0.763509958795877,-0.7094982325978354,-0.8741840366156652,-0.20026652760538224,-0.5072303182175659,2.46173257854666
Reda Belahyane,Pivote,0.10814259556053506,0.9484933449298235,1.8325322998164297,-2.1804105198095143,-0.7373960236906291,-0.13353911757786924,-1.8538177019792064,1.7997795541082735,0.48441359363975234
Rolando Mandragora,Pivote,4.217517623076344,-0.7458923795038364,1.090576513923194,0.8897054101389579,0.1600676873285512,-0.3563523583110775,-1.0021184848304925,-0.9285297159250797,1.1232207758661632
Alberto Grassi,Pivote,-1.8185271757909822,1.2911393023176663,-0.4049147842358416,-0.8225285270437536,0.912876521812807,0.9964096021960227,1.8418005303572822,-0.5996902417672876,2.2693821945018215
Andrea Ghion,Pivote,-3.4673207098465064,-1.4989680558783973,-0.16195577014724266,-1.538591524120756,-0.9494517968442169,0.7695943203161871,-1.375719487304908,-1.0119962020839637,-1.4160400415247614
Jesper Karlström,Pivote,-0.19134469365794038,-0.5020857389561403,-1.419595643948408,-0.08160695926664906,-0.20210869741577145,-0.8709718651880018,0.912160818686403,-0.7844591653380545,-0.8278640895847199
Teun Koopmeiners,Pivote,-1.4140004311124124,-0.8293590226379476,1.4668207563837192,0.5492473888185301,2.5685012436990524,-0.8664083477621468,1.66979834673086,-0.14368004676465407,-0.9851960736078272
Matteo Prati,Pivote,-0.9376206389032189,0.02333773624522032,2.1900057155736,-0.06469633873783924,-0.5168409782605775,-1.3817357744159333,-0.5637529773331068,0.4177114382250248,0.41827782404432967
Marius Marin,Pivote,-3.0899804024484205,1.589210425875127,0.20000894602609648,1.8193046227302907,-1.269772776450317,-0.3142930214898848,-0.09136745351948995,-0.40761609510577207,-0.5140347547511602
Danilo Cataldi,Pivote,2.5193997633098295,-1.1427371628034357,1.1739479738884682,-0.213166725990525,-0.13854441778286716,0.41930382119007525,-0.5576213258552681,-0.5625105939581787,-0.2579728790917092
Bryan Cristante,Pivote,0.9438630992369648,-0.7455249840285444,-0.3322118694487139,0.39226653997819116,0.7409100518011651,-0.029794541671343634,-1.2397983614233037,0.1178338558195293,-1.1359069718471877
Abdoulaye Camara,Pivote,-3.3045014957139776,-2.205223551225736,0.13508774185841188,-2.379372262361219,-0.34068889909802497,-0.6618455798259907,0.094162205391829,-1.4082209551532923,-0.4124500886942487
Simone Lottici Tessadri,Pivote,-3.116422161645418,-2.156216725537266,-0.5689983765096032,-1.944010494922955,1.7000686473772115,-0.8180746573789226,-0.49724644606954205,-0.1771400111910359,0.5900893707208325
Gianluca Gaetano,Pivote,3.3758679479412903,-0.9091103484439406,1.4639643266721825,0.4286600157114939,0.06360447563880697,0.5217706648493103,-0.028862712825761454,-0.7781254046894531,0.9966767930544026
Samuele Ricci,Pivote,3.5644830581884333,-1.0108845608247163,2.1889558078939233,0.026937893219493504,-0.07397225448074293,-1.2351255719025298,0.408389991482068,-0.5412164491414226,0.9279629691424625
Ylber Ramadani,Pivote,-0.2587305830790443,0.44934910904697883,-0.932158351087954,1.3276186019280387,-0.26548542431513933,0.4528891161207934,0.32076535625494834,-1.0895651064451075,0.48360887640414674
Alessandro Romano,Pivote,-3.722236891435557,-0.7418639757453261,-1.030677715066345,-0.961988392284472,0.29549654750500703,-2.0881520143746926,-0.861840953034327,1.1081994004716647,-0.31279079469114496
Adrien Tameze,Pivote,-3.1329751888141155,0.014570734640999596,-0.1669995035762235,0.01936588123335651,-0.6845116167739486,0.2615160720009066,1.0655043592688465,-0.9330382197127453,-0.9171557417315583
Kristjan Asllani,Pivote,-1.7079660030704968,-0.8687173146684949,1.1556661319605612,0.4822613376440357,1.4329639758695498,1.210152366466051,0.7032956682187312,-1.4431328991192605,0.7472693319342943
Hakan Çalhanoğlu,Pivote,4.629138830607302,-0.7400317580509918,1.356514467418935,0.8734082638335573,0.3567970643285291,0.36166876878305876,-0.6500460304292777,-0.3914591365804464,-0.5800360216658904
