Player,grupo_posicional,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9,similar_10,score_10,similar_11,score_11,similar_12,score_12,similar_13,score_13,similar_14,score_14,similar_15,score_15
Junior Diaz,Defensa central,Jordan Torunarigha,0.9757,Abdukodir Khusanov,0.9613,Berat Djimsiti,0.9549,Fernando Calero,0.9183,Juan Foyth,0.89,Uroš Radaković,0.881,Pablo Ramon,0.8677,Fabio Chiarodia,0.8636,Radu Drăgușin,0.8572,Maxim Leitsch,0.8537,Daley Blind,0.8449,Wout Faes,0.842,Dimitri Lucea,0.8081,Timo Hübers,0.8063,Maximilian Wöber,0.7949
Samson Baidoo,Defensa central,Gleison Bremer,0.9532,Amir Rrahmani,0.9415,Javier Castro,0.92,Santiago Bueno,0.9078,Luka Vušković,0.9053,Danilho Doekhi,0.905,Hiroki Ito,0.9019,Leo Skiri Østigård,0.8995,Eric Dier,0.8995,Joško Gvardiol,0.8966,Stefan Bell,0.8939,Bryan Okoh,0.8915,Giorgio Scalvini,0.8897,Lucas Beraldo,0.8882,Jonathan Tah,0.8872
Anthony Rouault,Defensa central,Andrew Omobamidele,0.9339,Sebastiano Luperto,0.9113,Francisco Sierralta,0.9089,Illia Zabarnyi,0.8808,Issa Diop,0.8553,Robin Hranáč,0.8467,Aitor Paredes,0.8345,Jonathan Tah,0.807,Eric Bailly,0.7928,Raúl Asencio,0.7885,Federico Gatti,0.7771,John Donald,0.7661,Federico Baschirotto,0.7502,Ozan Kabak,0.7483,Francesco Folino,0.7455
Tylel Tati,Defensa central,Manu Fernández,0.8574,Gaby Jean,0.8501,CJ Egan-Riley,0.8471,Christopher Wooh,0.8468,Jorge Cabello,0.8467,Djené,0.8201,Bambo Diaby,0.8169,Moussa Diarra,0.8168,Tanguy Nianzou,0.8146,Etienne Youte Kinkoue,0.8062,Luken Beitia,0.8041,Mattia Viti,0.8005,Amadou Cissé,0.8002,Juan Jesus,0.7908,Joël Schmied,0.7711
Jérémy Jacquet,Defensa central,Rosen Bozhinov,0.9514,Thilo Kehrer,0.9105,Daniel Elfadli,0.8918,Nicolás Valentini,0.8894,Niklas Stark,0.8871,Abdoulaye Ndiaye,0.8822,Jon Pacheco,0.8546,Lucas Høgsberg,0.8425,Keven Schlotterbeck,0.8391,Wesley Fofana,0.8108,Juan Jesus,0.7969,Mattia Viti,0.7724,Carl Starfelt,0.7586,Fikayo Tomori,0.7283,Kialonda,0.701
Lucas Høgsberg,Defensa central,Jon Pacheco,0.9701,Kialonda,0.8433,Jérémy Jacquet,0.8425,Carl Starfelt,0.7913,Renato Veiga,0.7754,Thilo Kehrer,0.7686,Rosen Bozhinov,0.7529,Abdoulaye Ndiaye,0.7457,Juan Jesus,0.7336,Daniel Elfadli,0.7289,Mattia Viti,0.7135,Clément Akpa,0.7052,Christopher Wooh,0.7031,Clément Lenglet,0.6991,Tylel Tati,0.6961
Abdoulaye Faye,Defensa central,Michel Mboula,0.9301,Aurèle Amenda,0.9036,Andrias Edmundsson,0.8504,Pau Navarro,0.8419,Yerson Mosquera,0.8381,Julian Chabot,0.8356,Victor Nelsson,0.7907,Cedric Zesiger,0.7756,Diogo Leite,0.77,Soumaïla Coulibaly,0.7625,Abdoulaye Bamba,0.7618,Ethan Pinnock,0.7349,Facundo Medina,0.7319,Ayumu Seko,0.7176,Saba Goglichidze,0.7168
Terry Yegbe,Defensa central,Montassar Talbi,0.9241,Luca Jaquez,0.9108,Victor Lindelöf,0.8744,Alessandro Marcandalli,0.8704,Sepp van den Berg,0.8417,Diego Coppola,0.8112,Nico Elvedi,0.7697,Raúl Albiol,0.7246,Lukas Klostermann,0.7153,Moustapha Mbow,0.7122,Dante,0.7094,Antonio Raillo,0.6876,Kristoffer Ajer,0.6769,Oier Luengo,0.6761,Lilian Brassier,0.657
Bamo Meïté,Defensa central,Clemens Riedel,0.907,Francesco Acerbi,0.8488,Javi Rodríguez,0.7922,Enzo Ebosse,0.7908,Antonio Raillo,0.7876,Finn Jeltsch,0.7736,Mark McKenzie,0.7508,Ramon Hendriks,0.7474,Marcos Senesi,0.74,Alidu Seidu,0.7198,Abdel Abqar,0.7109,Alberto Dossena,0.7046,César Azpilicueta,0.6945,Matteo Bianchetti,0.6908,Oier Luengo,0.6742
Jaydee Canvot,Defensa central,Patric,0.9821,Max Kilman,0.9763,Pelayo Fernandez,0.9743,Ladislav Krejčí,0.9592,Matteo Gabbia,0.9509,Etienne Youte Kinkoue,0.8961,Jamaal Lascelles,0.8633,Logan Costa,0.8613,Oliver Nielsen,0.8529,David Alaba,0.8265,Timothée Kolodziejczak,0.8135,Natan,0.8083,Mamadou Sarr,0.8017,Jorge Cabello,0.7919,David Odogu,0.7836
Soumaïla Coulibaly,Defensa central,Pau Navarro,0.9566,Ayumu Seko,0.8786,Aurèle Amenda,0.8551,Copete,0.8483,Yerson Mosquera,0.8443,Sebastian Otoa,0.8239,Cedric Zesiger,0.8223,César Tárrega,0.8183,Diogo Leite,0.7913,Nathaniel Adjei,0.7835,Abdoulaye Faye,0.7625,Chancel Mbemba,0.7619,Michel Mboula,0.7313,Nikola Milenković,0.7234,Julian Chabot,0.7219
Otavio Ataide,Defensa central,Dominik Kohr,0.9382,Daniel Vivian,0.9089,David Affengruber,0.858,Ismaëlo Ganiou,0.8537,Víctor Chust,0.8192,Zaid Romero,0.8023,Nobel Mendy,0.7862,Cristian Romero,0.7695,Marco Friedl,0.7547,Luca Ranieri,0.749,Yerry Mina,0.7466,Mariano Troilo,0.7398,Kojo Peprah Oppong,0.7179,Philipp Lienhart,0.7112,Jacobo Ramón,0.7109
Willian Pacho,Defensa central,Filippo Romagna,0.931,Hjalmar Ekdal,0.8804,Mick Schmetgens,0.8689,Fernando Calero,0.844,Yeray Álvarez,0.8317,Jay Idzes,0.8195,Leny Yoro,0.8187,Sékou Doucoure,0.8178,Bafodé Diakité,0.8167,Ousmane Toure,0.8077,Ezra Mayers,0.8071,Derek Cornelius,0.8063,Joseph Aidoo,0.8056,Dominique Heintz,0.8025,Berat Djimsiti,0.8003
Abdelhamid Ait Boudlal,Defensa central,Eray Cömert,0.9755,Dean Huijsen,0.9333,Micky van de Ven,0.9148,Amir Rrahmani,0.8929,Javier Castro,0.8763,Santiago Bueno,0.8701,Catena,0.8691,Samson Baidoo,0.8622,Edmond Tapsoba,0.862,Leo Skiri Østigård,0.8606,Stefan Bell,0.8546,Yann Aurel Bisseck,0.8523,Sinaly Diomande,0.8478,Eric Smith,0.8466,Christian Kabasele,0.8441
Benjamin Pavard,Defensa central,Jan Paul van Hecke,0.9247,Chidozie Awaziem,0.8785,Adrián de la Fuente,0.8775,Sven Botman,0.8562,Danny da Costa,0.8456,Domingos Duarte,0.8212,Nathan Collins,0.8115,Oumar Solet,0.7806,Gianluca Mancini,0.7402,James Tarkowski,0.7371,Gautier Lloris,0.7306,Amir Rrahmani,0.7267,Pablo Martínez,0.7175,Javier Castro,0.7162,Marc Pubill,0.696
Sadibou Sané,Defensa central,Arouna Sangante,0.7895,Gautier Lloris,0.7849,Tarik Muharemovic,0.7601,Nnamdi Collins,0.7481,Konstantinos Koulierakis,0.7415,Tiago Gabriel,0.7394,Filippo Terracciano,0.7355,Stanley N'Soki,0.7333,Adam Dźwigała,0.7225,Isak Hien,0.715,Vitor Reis,0.7061,Aaron Anselmino,0.7007,Eray Cömert,0.6984,Robin Koch,0.6922,Oumar Solet,0.6899
Facundo Medina,Defensa central,Abdoulaye Faye,0.7319,James Hill,0.7084,Michel Mboula,0.689,Ayden Heaven,0.6802,Alessandro Buongiorno,0.674,Kyllian Antonio,0.6649,Aurèle Amenda,0.6383,César Azpilicueta,0.6186,Abdel Abqar,0.6181,Olivier Boscagli,0.6171,Zé Pedro Figueiredo,0.6075,Adam Masina,0.6053,Jeanuël Belocian,0.5999,Andreas Hanche-Olsen,0.5909,Diogo Leite,0.5886
Clément Akpa,Defensa central,Thilo Kehrer,0.774,Carl Starfelt,0.7646,Jon Pacheco,0.745,Lucas Høgsberg,0.7052,Lisandro Martínez,0.6813,Kialonda,0.681,Abdoul Coulibaly,0.6635,Filippo Mane,0.6599,Jérémy Jacquet,0.637,Max Rosenfelder,0.6228,Mattia Viti,0.6219,CJ Egan-Riley,0.6211,Keven Schlotterbeck,0.6131,Abdoulaye Ndiaye,0.6031,Djené,0.5942
Andrew Omobamidele,Defensa central,Francisco Sierralta,0.9763,Sebastiano Luperto,0.9467,Anthony Rouault,0.9339,Issa Diop,0.9178,Aitor Paredes,0.9124,Illia Zabarnyi,0.8919,Jonathan Tah,0.8728,Raúl Asencio,0.8685,Seny Koumbassa,0.8667,Miguel Ángel Rubio,0.8662,Bryan Okoh,0.8601,Eric Bailly,0.8543,Eric Dier,0.8517,Jon Martin,0.8508,Obite N'Dicka,0.8446
Abdulai Juma Bah,Defensa central,Tommaso Macchioni,0.8604,Sebastiaan Bornauw,0.8293,Jorge Cuenca,0.8254,Tosin Adarabioyo,0.757,Matias Moreno,0.7496,Koki Machida,0.7466,Natan,0.7151,Marin Pongračić,0.705,Copete,0.7029,Anthony Jung,0.6979,Kevin Danso,0.6885,Daniele Rugani,0.6835,Moïse Bombito,0.6676,Eivind Helland,0.6606,Wout Faes,0.6529
Jonathan Gradit,Defensa central,Djené,0.9606,Daniele Ghilardi,0.8612,Formose Mendy,0.8357,Dimitri Lucea,0.8159,Armel Bella Kotchap,0.7959,Arthur Chaves,0.7879,Mattia Viti,0.7867,Mikayil Ngor Faye,0.7844,Juan Jesus,0.7842,Maximilian Wöber,0.7835,Jan Ziółkowski,0.7745,Timo Hübers,0.7644,Abdoulaye Ndiaye,0.7592,Zach Abbott,0.7566,Kevin Akpoguma,0.7534
Raphael Le Guen,Defensa central,Telli Siwe,0.9393,Piero Hincapié,0.9378,Ville Koski,0.9203,Fabio Chiarodia,0.8986,Max Alleyne,0.884,Luiz Felipe,0.8598,Berat Djimsiti,0.8405,Dan-Axel Zagadou,0.8137,Sékou Doucoure,0.8102,Fernando Calero,0.7681,Uroš Radaković,0.7421,Leny Yoro,0.7258,Cenk Özkacar,0.7059,Tommaso Macchioni,0.6916,Junior Diaz,0.6836
Charlie Cresswell,Defensa central,Stefan Bell,0.9563,Edmond Tapsoba,0.9502,Leo Skiri Østigård,0.9399,Amir Rrahmani,0.9151,Omar Alderete,0.8904,Ramy Bensebaini,0.8824,James Tarkowski,0.8687,Yann Aurel Bisseck,0.8643,Javier Castro,0.8567,Samson Baidoo,0.848,Pablo Martínez,0.8476,Dean Huijsen,0.846,Luka Vušković,0.8399,Abdelhamid Ait Boudlal,0.8397,Mouctar Diakhaby,0.8388
Brendan Chardonnet,Defensa central,Joško Gvardiol,0.9512,Jaka Bijol,0.9183,Hiroki Ito,0.9171,Gleison Bremer,0.9095,Gabriel Magalhães,0.9003,Éder Militão,0.892,Lucas Beraldo,0.8865,Marc Guéhi,0.8762,Mario Hermoso,0.8698,Ruben Kluivert,0.8343,Stanley N'Soki,0.8198,James Tarkowski,0.8189,Samson Baidoo,0.8184,Nathan Ngoy,0.8089,Jonathan Tah,0.8086
Julien Le Cardinal,Defensa central,Ronald Araújo,0.9682,Federico Gatti,0.9507,Ben Davies,0.9413,Luca Reggiani,0.9343,Raúl Asencio,0.9278,Stefan Posch,0.91,Éder Militão,0.8974,Ozan Kabak,0.8931,Adam Kölle,0.8887,Lucas Beraldo,0.8854,Jarell Quansah,0.8659,Santiago Bueno,0.8612,John Donald,0.8563,Malick Thiaw,0.8537,Sebastiano Luperto,0.8535
Telli Siwe,Defensa central,Ville Koski,0.9805,Max Alleyne,0.9723,Raphael Le Guen,0.9393,Luiz Felipe,0.9173,Piero Hincapié,0.8878,Fabio Chiarodia,0.8638,Stefan de Vrij,0.8505,Dan-Axel Zagadou,0.8462,Berat Djimsiti,0.8169,Kōta Takai,0.7975,Cenk Özkacar,0.7617,Gerard Martín,0.7606,Jahmai Simpson-Pusey,0.757,Martin Valjent,0.7413,Carlos Dominguez,0.711
Emmanuel Biumla,Defensa central,Maxima Goffi,0.9737,Victor Valdepeñas,0.9715,Gabriel Osho,0.9696,Eddy Kouadio,0.9542,Marvin Friedrich,0.9185,Fali Candé,0.9077,Zach Abbott,0.9027,Gaby Jean,0.8862,Julián Malatini,0.8744,Francesco Coppola,0.8742,Moussa Diarra,0.858,Joël Schmied,0.856,Manu Fernández,0.8559,Arthur Chaves,0.8503,Javier Olaizola,0.8444
Jean-Philippe Gbamin,Defensa central,Michael Keane,0.8819,Maxence Lacroix,0.8653,Harry Maguire,0.8589,Alan Matturro,0.8088,Nathan Ngoy,0.7981,Lucas Beraldo,0.7748,Joško Gvardiol,0.7655,Jaka Bijol,0.7383,Éder Militão,0.7333,Hiroki Ito,0.7278,Gabriel Magalhães,0.7269,Stephan Zagadou,0.7264,Miguel Ángel Rubio,0.7262,Robin Koch,0.7241,Gleison Bremer,0.7176
Etienne Youte Kinkoue,Defensa central,Logan Costa,0.9773,Jorge Cabello,0.9671,Ladislav Krejčí,0.9388,Patric,0.9362,Max Kilman,0.9219,Luken Beitia,0.9145,Pelayo Fernandez,0.8971,Nils Zätterström,0.8962,Jaydee Canvot,0.8961,Igor,0.8894,Ramón Martínez,0.8853,Amadou Cissé,0.8827,Christopher Wooh,0.875,Noham Kamara,0.8638,Marco Esteban,0.8638
Mark McKenzie,Defensa central,Abdel Abqar,0.8396,Fikayo Tomori,0.8081,Jean-Clair Todibo,0.8078,Enzo Ebosse,0.7885,Clément Lenglet,0.7841,Javi Rodríguez,0.7662,Bamo Meïté,0.7508,Oier Luengo,0.7459,Zé Pedro Figueiredo,0.7445,Luke O'Nien,0.7175,Matteo Bianchetti,0.7118,Clemens Riedel,0.7112,Jeanuël Belocian,0.7063,Joachim Andersen,0.7028,Moussa Niakhate,0.6989
Kyllian Antonio,Defensa central,Olivier Boscagli,0.954,Marcos Senesi,0.8791,Alidu Seidu,0.8502,Jeanuël Belocian,0.8139,Aritz Elustondo,0.8108,Adam Masina,0.8029,César Azpilicueta,0.8025,Ramon Hendriks,0.794,Lilian Brassier,0.775,Tomoya Ando,0.7689,Matteo Bianchetti,0.7463,Alessandro Buongiorno,0.7462,Luke O'Nien,0.7449,Warmed Omari,0.7407,Moussa Niakhate,0.7319
Rasmus Nicolaisen,Defensa central,Manuel Akanji,0.8971,Jon Martin,0.8932,Aïssa Mandi,0.8589,Ousmane Camara,0.8491,Jarrad Branthwaite,0.8377,Guillermo Maripán,0.7778,Thomas Kristensen,0.7675,Castrin,0.7671,Castello Lukeba,0.7664,Willi Orban,0.7636,Danilho Doekhi,0.7533,Arthur Theate,0.7464,Mouctar Diakhaby,0.7382,Aitor Paredes,0.7327,Konstantinos Mavropanos,0.7315
Ayumu Seko,Defensa central,Nathaniel Adjei,0.9214,Sebastian Otoa,0.9158,Loïc Bade,0.9107,Julian Chabot,0.8864,Chancel Mbemba,0.8802,Soumaïla Coulibaly,0.8786,Aurèle Amenda,0.8646,Ethan Pinnock,0.8641,Pau Navarro,0.8572,Axel Disasi,0.8286,Yerson Mosquera,0.7945,Cedric Zesiger,0.7838,Diogo Leite,0.775,Michel Mboula,0.7633,Copete,0.7574
Moïse Bombito,Defensa central,Daniele Rugani,0.9684,Marin Pongračić,0.9613,Bambo Diaby,0.9528,Koki Machida,0.9502,Benoît Badiashile,0.9495,Pablo Marí,0.9369,Eivind Helland,0.9317,Fábio Cardoso,0.8663,Luken Beitia,0.8638,Armel Bella Kotchap,0.8631,Anthony Jung,0.8519,Jan Ziółkowski,0.8491,Abdul Mumin,0.835,Daniel Denoon,0.8298,Natan,0.8241
Abdoulaye Bamba,Defensa central,Saba Goglichidze,0.9808,Giovanni Bonfanti,0.8678,Honest Ahanor,0.865,Alexsandro Ribeiro,0.841,Christian Mawissa,0.8339,Gerard Martín,0.8251,Tim Siersleben,0.82,Lautaro Valenti,0.8074,Emre Can,0.798,Nidal Čelik,0.7924,Kevin Danso,0.7682,Unai Núñez,0.7665,Dan-Axel Zagadou,0.7664,Abdoulaye Faye,0.7618,Mikayil Ngor Faye,0.7459
Montassar Talbi,Defensa central,Terry Yegbe,0.9241,Victor Lindelöf,0.844,Luca Jaquez,0.8405,Alessandro Marcandalli,0.8313,Ezra Mayers,0.8059,Nayef Aguerd,0.7915,Tyrone Mings,0.7869,John Stones,0.7602,Jamaal Lascelles,0.7602,Sepp van den Berg,0.7567,Matías Pérez,0.7552,Mamadou Sarr,0.7535,Nico Elvedi,0.7298,David Odogu,0.7235,Marco Esteban,0.7235
Chidozie Awaziem,Defensa central,Benjamin Pavard,0.8785,Nathan Collins,0.8673,Domingos Duarte,0.8655,Sven Botman,0.8544,Danny da Costa,0.8406,Jan Paul van Hecke,0.832,Tarik Muharemovic,0.8264,Vitor Reis,0.8008,Konstantinos Koulierakis,0.7497,Adrián de la Fuente,0.7473,James Tarkowski,0.7186,Unai Elgezabal,0.7166,Axel Tuanzebe,0.6905,Gautier Lloris,0.6792,Andreas Hanche-Olsen,0.6518
Arouna Sangante,Defensa central,Pedro Bigas,0.869,Maxence Lacroix,0.8574,Ismaëlo Ganiou,0.8232,David Affengruber,0.8093,Cristian Romero,0.8082,Sadibou Sané,0.7895,Adam Dźwigała,0.7742,Nathan Ngoy,0.7662,Nnamdi Collins,0.7618,Zaid Romero,0.7554,Stanley N'Soki,0.7529,Albian Hajdari,0.7525,Robin Koch,0.7447,Dominik Kohr,0.7422,Mario Hermoso,0.7266
Eric Dier,Defensa central,Obite N'Dicka,0.9537,Bryan Okoh,0.9361,Aitor Paredes,0.9325,Danilho Doekhi,0.9323,Rúben Dias,0.9104,Samson Baidoo,0.8995,Seny Koumbassa,0.8925,Lucas Beraldo,0.8916,Francisco Sierralta,0.8841,Miguel Ángel Rubio,0.8723,Kim Min-jae,0.8703,Aaron Anselmino,0.8654,Luka Vušković,0.8599,Ozan Kabak,0.8578,Sebastiano Luperto,0.8566
Timothée Kolodziejczak,Defensa central,Wout Faes,0.873,Martin Valjent,0.8573,Oliver Nielsen,0.8412,Matteo Gabbia,0.8379,Pelayo Fernandez,0.8223,David Alaba,0.8222,Jaydee Canvot,0.8135,Andreas Christensen,0.8055,Luiz Felipe,0.8049,Natan,0.8007,Max Kilman,0.7987,Ladislav Krejčí,0.7937,Martin Vitík,0.7691,Guilherme Ramos,0.7666,Patric,0.7649
Ruben Kluivert,Defensa central,Mario Hermoso,0.9061,Jonathan Tah,0.8996,Enzo Boyomo,0.8873,Adam Dźwigała,0.8815,Marc-Oliver Kempf,0.8639,Dayot Upamecano,0.8626,Lucas Beraldo,0.8561,Éder Militão,0.8521,Nnamdi Collins,0.8451,Joško Gvardiol,0.8422,Francesco Folino,0.8387,Gabriel Magalhães,0.8366,Brendan Chardonnet,0.8343,Stanley N'Soki,0.8332,Luca Reggiani,0.8239
Michel Mboula,Defensa central,Abdoulaye Faye,0.9301,Andrias Edmundsson,0.9257,Aurèle Amenda,0.8695,Cedric Zesiger,0.8409,Julian Chabot,0.8409,Pau Navarro,0.8339,Victor Nelsson,0.8222,Yerson Mosquera,0.8157,Ethan Pinnock,0.8039,Diogo Leite,0.7958,Ayumu Seko,0.7633,Sebastian Otoa,0.7387,Soumaïla Coulibaly,0.7313,Loïc Bade,0.7286,Abdoulaye Bamba,0.7269
Thilo Kehrer,Defensa central,Jérémy Jacquet,0.9105,Rosen Bozhinov,0.8995,Niklas Stark,0.8796,Keven Schlotterbeck,0.877,Abdoulaye Ndiaye,0.8755,Jon Pacheco,0.8553,Daniel Elfadli,0.8491,Nicolás Valentini,0.8487,Mattia Viti,0.8136,Fikayo Tomori,0.8072,Wesley Fofana,0.7931,Juan Jesus,0.7839,Clément Akpa,0.774,Lucas Høgsberg,0.7686,Djené,0.7117
Seny Koumbassa,Defensa central,Rúben Dias,0.9722,Miguel Ángel Rubio,0.9623,Francisco Sierralta,0.9162,Issa Diop,0.9015,Virgil van Dijk,0.8933,Eric Dier,0.8925,Stephan Zagadou,0.8885,Matthijs de Ligt,0.8788,Raúl Asencio,0.8703,Marc-Oliver Kempf,0.8692,Andrew Omobamidele,0.8667,Illia Zabarnyi,0.8637,Robin Hranáč,0.8512,Sebastiano Luperto,0.8489,Francesco Folino,0.8405
Alexsandro Ribeiro,Defensa central,Honest Ahanor,0.9841,Abdoulaye Bamba,0.841,Saba Goglichidze,0.8161,Jahmai Simpson-Pusey,0.7785,Gerard Martín,0.7689,Dan-Axel Zagadou,0.7438,Niklas Stark,0.7234,Emmanuel Agbadou,0.7223,Giovanni Bonfanti,0.702,Tim Siersleben,0.6809,Malang Sarr,0.6753,Mario Gila,0.6684,Christian Mawissa,0.65,Luiz Felipe,0.6477,Max Alleyne,0.641
Stephan Zagadou,Defensa central,Seny Koumbassa,0.8885,Issa Diop,0.8735,Francisco Sierralta,0.8559,Miguel Ángel Rubio,0.8502,Raúl Asencio,0.8445,Francesco Folino,0.8441,Alan Matturro,0.841,Marc-Oliver Kempf,0.837,Andrew Omobamidele,0.8367,Luca Reggiani,0.8281,Rúben Dias,0.8142,Sebastiano Luperto,0.811,Illia Zabarnyi,0.8088,Michael Keane,0.8004,Robin Koch,0.7846
CJ Egan-Riley,Defensa central,Ezri Konsa,0.8598,Brad Mantsounga,0.8516,Tim Oermann,0.851,Tylel Tati,0.8471,Marvin Friedrich,0.8138,Gaby Jean,0.812,Filippo Mane,0.808,Diego Aguado,0.7884,Jenson Seelt,0.7841,Christopher Wooh,0.7793,Alvaro Cortes,0.7768,Mario Gila,0.7751,Gabriel Osho,0.7638,Jorge Cabello,0.7606,Toti Gomes,0.7535
Nidal Čelik,Defensa central,Kevin Danso,0.8845,Dan-Axel Zagadou,0.8576,Saba Goglichidze,0.8489,Luiz Felipe,0.8489,Unai Núñez,0.8459,Giovanni Bonfanti,0.8212,Wout Faes,0.812,Fabio Chiarodia,0.7992,Abdoulaye Bamba,0.7924,Branimir Mlacic,0.7914,Martin Vitík,0.7847,Jan Ziółkowski,0.7809,Uroš Radaković,0.7616,Pablo Ramon,0.7555,Christian Mawissa,0.7544
Nicolas Cozza,Defensa central,Tomoya Ando,0.8999,Matteo Bianchetti,0.7981,Pablo,0.778,Alessandro Marcandalli,0.7723,Kristoffer Ajer,0.7544,Ramon Hendriks,0.7106,Javier Olaizola,0.7067,Aritz Elustondo,0.6944,Tobias Slotsager,0.6908,Luke O'Nien,0.6723,Eddy Kouadio,0.6696,Olivier Boscagli,0.6583,Lilian Brassier,0.6573,Warmed Omari,0.6545,Kyllian Antonio,0.6395
Illia Zabarnyi,Defensa central,Robin Hranáč,0.9193,Issa Diop,0.8935,Andrew Omobamidele,0.8919,Anthony Rouault,0.8808,Pau Cubarsí,0.8769,Francisco Sierralta,0.876,Sebastiano Luperto,0.8657,Seny Koumbassa,0.8637,Stephan Zagadou,0.8088,Miguel Ángel Rubio,0.8058,Rúben Dias,0.7936,Raúl Asencio,0.7928,Francesco Folino,0.7842,Unai Elgezabal,0.78,Eric Bailly,0.7535
Gautier Lloris,Defensa central,Sven Botman,0.864,Tarik Muharemovic,0.802,Adrián de la Fuente,0.7889,Sadibou Sané,0.7849,Jan Paul van Hecke,0.7758,Konstantinos Mavropanos,0.7757,Vitor Reis,0.7641,Nathan Collins,0.7544,Oumar Solet,0.7503,Benjamin Pavard,0.7306,Filippo Terracciano,0.7182,Danny da Costa,0.7102,Tiago Gabriel,0.7061,Eray Cömert,0.7047,Duje Ćaleta-Car,0.7002
Aïssa Mandi,Defensa central,Castrin,0.9037,Arthur Theate,0.878,Willi Orban,0.8778,Manuel Akanji,0.8696,Kike Salas,0.8654,Jarrad Branthwaite,0.8616,Rasmus Nicolaisen,0.8589,Samir Chergui,0.8125,Guillermo Maripán,0.8035,Danilho Doekhi,0.7703,Luka Vušković,0.7655,Valentín Gómez,0.7586,Giorgio Scalvini,0.737,Kojo Peprah Oppong,0.7351,Mouctar Diakhaby,0.7332
Kojo Peprah Oppong,Defensa central,Calvin Bassey,0.8621,Odilon Kossounou,0.8443,Juan Rodríguez,0.8167,Karol Mets,0.8,Morato,0.7935,Jhon Lucumí,0.7882,Valentín Gómez,0.7828,Kike Salas,0.7576,Castrin,0.7556,Aaron Anselmino,0.7544,Jarell Quansah,0.753,Jamil Siebert,0.7398,Aïssa Mandi,0.7351,Simone Canestrelli,0.7349,Otavio Ataide,0.7179
Nathan Ngoy,Defensa central,Maxence Lacroix,0.9137,Abdelhamid Ait Boudlal,0.8335,Eray Cömert,0.8174,Dean Huijsen,0.8111,Brendan Chardonnet,0.8089,Joško Gvardiol,0.8048,Gleison Bremer,0.8042,Michael Keane,0.8029,Harry Maguire,0.799,Jean-Philippe Gbamin,0.7981,Jaka Bijol,0.7935,Cristian Romero,0.7821,Hiroki Ito,0.77,Robin Koch,0.767,Sinaly Diomande,0.7669
Javier Castro,Defensa central,Santiago Bueno,0.9718,Amir Rrahmani,0.9686,Strahinja Pavlović,0.9415,Samson Baidoo,0.92,Giorgio Scalvini,0.9181,Edmond Tapsoba,0.9149,Yann Aurel Bisseck,0.9091,Leo Skiri Østigård,0.9062,Marc Pubill,0.8955,Matthias Ginter,0.8946,Gianluca Mancini,0.8944,Ramy Bensebaini,0.8936,Luka Vušković,0.8873,Stefan Bell,0.884,Abdelhamid Ait Boudlal,0.8763
Facundo González,Defensa central,Jamil Siebert,0.9663,Federico Baschirotto,0.905,Odilon Kossounou,0.9027,Jhon Lucumí,0.8836,Diego Carlos,0.869,Thomas Kristensen,0.864,Morato,0.859,Lewis Dunk,0.8588,David Costas,0.8578,Simone Canestrelli,0.855,Antonio Rüdiger,0.8362,Issa Diop,0.8224,Sam Beukema,0.8158,Karol Mets,0.7942,Manuel Akanji,0.7831
Manu Hernando,Defensa central,Patrick Mainka,0.9471,Hiroki Ito,0.8857,Samson Baidoo,0.8652,Gleison Bremer,0.8592,Jaka Bijol,0.8518,Amir Rrahmani,0.8338,Charlie Cresswell,0.8166,Stefan Bell,0.7895,Joško Gvardiol,0.7885,Michael Keane,0.7836,Omar Alderete,0.7747,Edmond Tapsoba,0.7718,Matthias Ginter,0.7623,Abdelhamid Ait Boudlal,0.759,Yann Aurel Bisseck,0.7555
Pablo Ramon,Defensa central,Julián Malatini,0.9247,Luca Marianucci,0.912,Joël Schmied,0.8813,Branimir Mlacic,0.8784,Jordan Torunarigha,0.8732,Wout Faes,0.8715,Unai Núñez,0.8704,Junior Diaz,0.8677,Nicolò Casale,0.8629,Kevin Danso,0.8614,Francesco Coppola,0.8571,Armel Bella Kotchap,0.8502,Formose Mendy,0.84,Daniele Ghilardi,0.8398,Marin Pongračić,0.8397
Conor Bradley,Lateral derecho,Thierry Correia,0.94,Ismael Bekhoucha,0.9105,Ignace Van Der Brempt,0.9024,Carlens Arcus,0.8517,Danilo Veiga,0.8218,Tommaso Barbieri,0.7916,Omar El Hilali,0.7787,Rico Lewis,0.768,Hamari Traoré,0.7572,Ivan Smolčić,0.7487,Buba Sangaré,0.7442,Rubén,0.7271,Rafik Messali,0.7209,Vanderson,0.7133,Adam Smith,0.6808
Ben White,Lateral derecho,Andrei Ratiu,0.799,Gabriele Zappa,0.7681,Pasquale Mazzocchi,0.7108,Jackson Tchatchoua,0.6339,Omar Traoré,0.63,William Mikelbrencis,0.6232,Sael Kumbedi,0.6197,Jeremie Frimpong,0.6135,Álvaro Núñez,0.6031,Trent Alexander-Arnold,0.5988,Yukinari Sugawara,0.5907,Lucas Ahijado,0.5723,Nathaniel Clyne,0.5706,Sebastian Sebulonsen,0.5382,Rubén,0.5341
